Date,SPY,QQQ,IEF,LQD,GLD
2019-12-02,282.676117,194.997513,94.162956,99.824394,137.789993
2019-12-03,280.780334,193.470154,95.002731,100.594261,139.110001
2019-12-04,282.512878,194.449905,94.637962,100.460732,138.919998
2019-12-05,283.020782,194.834167,94.417435,100.350754,139.0
2019-12-06,285.605896,196.918655,94.129082,100.295723,137.619995
2019-12-09,284.707916,196.025299,94.205406,100.280052,137.580002
2019-12-10,284.390442,195.861984,94.095139,100.280052,137.970001
2019-12-11,285.197723,196.899414,94.485352,100.672806,138.919998
2019-12-12,287.655823,198.369064,93.738876,100.209351,138.429993
2019-12-13,287.828217,199.022324,94.290237,100.861374,139.050003
2019-12-16,289.805603,201.020325,93.849152,100.633537,139.039993
2019-12-17,289.86911,201.13559,93.857628,100.554985,139.009995
2019-12-18,289.887268,201.289246,93.603149,100.484283,139.020004
2019-12-19,291.0755,202.547623,93.676201,100.583534,139.380005
2019-12-20,292.351654,203.36412,93.676201,100.552017,139.520004
2019-12-23,292.798279,203.901276,93.591225,100.599304,139.949997
2019-12-24,292.807404,204.007217,93.752686,100.701668,141.270004
2019-12-26,294.366119,205.807358,93.888542,100.882843,142.380005
2019-12-27,294.293152,205.634048,94.024475,101.02462,142.330002
2019-12-30,292.670624,204.286331,93.965004,101.20578,142.630005
2019-12-31,293.381531,204.671402,93.625267,100.7883,142.899994
2020-01-02,296.125305,208.088867,94.058449,101.000984,143.949997
2020-01-03,293.882996,206.182785,94.687027,101.347557,145.860001
2020-01-06,295.004211,207.511292,94.585075,101.008842,147.389999
2020-01-07,294.174683,207.482361,94.449173,100.748917,147.970001
2020-01-08,295.742493,209.041916,94.228355,100.607117,146.860001
2020-01-09,297.747803,210.813202,94.296272,101.087616,146.029999
2020-01-10,296.890991,210.274109,94.500175,101.37117,146.910004
2020-01-13,298.932739,212.699997,94.389725,101.127007,145.820007
2020-01-14,298.47702,211.862503,94.57663,101.253067,145.690002
2020-01-15,299.15155,211.949112,94.814468,101.473602,146.539993
2020-01-16,301.639984,213.980377,94.619102,101.615387,146.309998
2020-01-17,302.578857,215.039291,94.542648,101.599617,146.580002
2020-01-21,301.986328,214.943024,94.916389,102.087944,146.740005
2020-01-22,302.022827,215.510956,94.933365,102.143097,146.789993
2020-01-23,302.369171,216.204086,95.171211,102.276978,147.119995
2020-01-24,299.680237,214.384628,95.511009,102.450294,147.979996
2020-01-27,294.876465,209.956406,96.156555,102.647163,148.990005
2020-01-28,297.966553,213.181381,95.833771,102.592087,147.660004
2020-01-29,297.720551,213.527893,96.292496,102.922836,148.460007
2020-01-30,298.686707,214.288391,96.38591,102.985863,148.470001
2020-01-31,293.263214,210.890228,96.870117,103.253647,149.330002
2020-02-03,295.44162,214.076569,96.78759,103.17234,148.360001
2020-02-04,299.94455,218.976562,96.226196,102.919678,146.429993
2020-02-05,303.408325,219.698547,95.809441,102.856476,146.610001
2020-02-06,304.42923,221.595001,95.877464,102.809113,147.399994
2020-02-07,302.806793,220.641983,96.336761,103.203926,147.789993
2020-02-10,305.067322,223.308563,96.523911,103.44873,148.169998
2020-02-11,305.595978,223.347046,96.294228,103.298691,147.660004
2020-02-12,307.56485,225.52269,96.047569,103.251305,147.539993
2020-02-13,307.236694,225.233856,96.132637,103.180237,148.380005
2020-02-14,307.728912,225.87886,96.370804,103.43293,149.0
2020-02-18,306.935913,225.965485,96.523911,103.630356,150.910004
2020-02-19,308.403473,228.131516,96.506943,103.488251,151.789993
2020-02-20,307.136353,226.013626,96.78759,103.835701,152.410004
2020-02-21,303.973511,221.672028,97.178871,104.041008,154.699997
2020-02-24,293.89209,213.123581,97.93586,104.056816,156.089996
2020-02-25,284.986481,207.328384,98.208023,104.159447,153.300003
2020-02-26,283.938263,208.396927,98.156998,103.772514,153.970001
2020-02-27,271.186157,197.961685,98.633385,103.219742,154.0
2020-02-28,270.046722,198.115692,99.739113,104.380539,148.380005
2020-03-02,281.741516,208.339142,99.670952,104.276863,149.199997
