Period,SPY,QQQ,IEF,LQD,GLD
2020-01,-0.0004032871,0.0303844403,0.0346578451,0.0244606467,0.0449965589
2020-02,-0.0791660559,-0.0605743382,0.0296169354,0.0109138227,-0.0063617290
2020-03,-0.1248712954,-0.0728584488,0.0372267899,-0.0631186241,-0.0022240328
2020-04,0.1269837088,0.1497374447,0.0027525014,0.0484580143,0.0726106031
2020-05,0.0476450265,0.0660089118,0.0032744686,0.0246024622,0.0258816179
2020-06,0.0177347210,0.0628667184,0.0004270032,0.0212756712,0.0273770235
2020-07,0.0588918217,0.0734651534,0.0085418155,0.0310008901,0.1079046337
2020-08,0.0697968866,0.1094477079,-0.0096988451,-0.0177827548,-0.0032356740
2020-09,-0.0374433697,-0.0577867152,0.0032778239,-0.0043976211,-0.0417140449
2020-10,-0.0249336005,-0.0304484925,-0.0138079494,-0.0051034570,-0.0051942075
2020-11,0.1087763972,0.1122570936,0.0033835152,0.0377154517,-0.0540862609
2020-12,0.0370485579,0.0490247180,-0.0023844384,0.0015062507,0.0701386161
2021-01,-0.0101904520,0.0026136535,-0.0109211819,-0.0183160974,-0.0322381698
2021-02,0.0278054398,-0.0013354849,-0.0236333916,-0.0226330437,-0.0625688137
2021-03,0.0453993538,0.0171679110,-0.0238569828,-0.0147800618,-0.0114331069
2021-04,0.0529104937,0.0590982856,0.0100124750,0.0104316011,0.0356338882
2021-05,0.0065662117,-0.0120123333,0.0042489479,0.0062266779,0.0767837782
2021-06,0.0224272911,0.0626213724,0.0102254077,0.0221138524,-0.0714766209
2021-07,0.0244125050,0.0286092166,0.0199022237,0.0141904805,0.0252973608
2021-08,0.0297599404,0.0421868349,-0.0039440070,-0.0034399252,-0.0007655458
2021-09,-0.0466054767,-0.0568314979,-0.0159706088,-0.0150742281,-0.0322352580
2021-10,0.0701633074,0.0786398433,-0.0044293262,0.0053099866,0.0147971805
2021-11,-0.0080346356,0.0199684461,0.0109211264,-0.0011859797,-0.0069006543
2021-12,0.0462477157,0.0115233573,-0.0052404338,-0.0003416511,0.0329909789
2022-01,-0.0527411807,-0.0874701110,-0.0211306962,-0.0359189776,-0.0167876163
2022-02,-0.0295170506,-0.0447597765,-0.0030410298,-0.0213147485,0.0612172601
2022-03,0.0375903839,0.0466790678,-0.0406092045,-0.0289372179,0.0127255799
2022-04,-0.0877690264,-0.1359575222,-0.0422825999,-0.0669928752,-0.0207029622
2022-05,0.0022572911,-0.0158660069,0.0061837476,0.0186388264,-0.0326154817
2022-06,-0.0824605644,-0.0890789199,-0.0086342181,-0.0362275582,-0.0156596472
2022-07,0.0920876739,0.1255172969,0.0296144213,0.0444438656,-0.0258815198
2022-08,-0.0408021543,-0.0513215385,-0.0385384434,-0.0442914060,-0.0294332835
2022-09,-0.0924458461,-0.1053555079,-0.0473496182,-0.0597986759,-0.0288818100
2022-10,0.0812755405,0.0399983099,-0.0145400116,-0.0074521762,-0.0178444044
2022-11,0.0555914234,0.0554416863,0.0361224818,0.0664764111,0.0849186601
2022-12,-0.0576281676,-0.0901365713,-0.0148806427,-0.0155110258,0.0293064805
2023-01,0.0628873086,0.1064291514,0.0358113429,0.0515980867,0.0575925787
2023-02,-0.0251426573,-0.0035975852,-0.0327077016,-0.0416907597,-0.0536759645
2023-03,0.0370780240,0.0949268605,0.0372104659,0.0384846987,0.0791612798
2023-04,0.0159748384,0.0050789587,0.0081477089,0.0060401106,0.0086235236
2023-05,0.0046161241,0.0788380457,-0.0143831116,-0.0176889931,-0.0134198916
2023-06,0.0647997900,0.0630386550,-0.0125526440,0.0081010420,-0.0222137058
2023-07,0.0327333300,0.0386009843,-0.0065170025,0.0005377554,0.0228866433
2023-08,-0.0162519411,-0.0148300506,-0.0073089948,-0.0122905142,-0.0127776360
2023-09,-0.0474346784,-0.0507987918,-0.0313880759,-0.0355726479,-0.0476058594
2023-10,-0.0217084412,-0.0206547405,-0.0192775038,-0.0241188952,0.0737241133
2023-11,0.0913436210,0.1081882548,0.0455448387,0.0757442467,0.0253137275
2023-12,0.0456555357,0.0558697280,0.0377228746,0.0487527770,0.0128211815
2024-01,0.0159263885,0.0181920248,0.0007260283,-0.0044280045,-0.0142281793
2024-02,0.0521868925,0.0528335762,-0.0208262589,-0.0193202879,0.0045635501
2024-03,0.0327018344,0.0127495893,0.0073320698,0.0154102021,0.0866832348
2024-04,-0.0403194511,-0.0437376998,-0.0312978207,-0.0324302999,0.0298949736
2024-05,0.0505796565,0.0615180922,0.0180015043,0.0221371307,0.0161892107
2024-06,0.0352800918,0.0647013187,0.0121697591,0.0059631100,-0.0013469949
2024-07,0.0121092315,-0.0167810862,0.0289723790,0.0263809556,0.0536719607
2024-08,0.0233655051,0.0110386867,0.0134577679,0.0187052427,0.0209224892
2024-09,0.0210045536,0.0262159654,0.0138249900,0.0196289602,0.0508885181
2024-10,-0.0089234290,-0.0086462936,-0.0338737538,-0.0317939533,0.0429934876
2024-11,0.0596333012,0.0535082170,0.0102091040,0.0179088955,-0.0312413678
2024-12,-0.0240602730,0.0045403769,-0.0225839713,-0.0267578401,-0.0140884851
2025-01,0.0268565611,0.0216339229,0.0061657360,0.0058030995,0.0678560800
2025-02,-0.0126949421,-0.0270346159,0.0279968781,0.0237132449,0.0182162401
2025-03,-0.0557191082,-0.0758617967,0.0034194576,-0.0046247165,0.0944658603
2025-04,-0.0086701665,0.0139681991,0.0105610396,-0.0027062369,0.0542443714
2025-05,0.0628450463,0.0917828732,-0.0123957872,0.0020642911,-0.0005595780
2025-06,0.0513860147,0.0638583585,0.0160195620,0.0208243954,0.0040513207
2025-07,0.0230316474,0.0242369182,-0.0059391755,-0.0008973058,-0.0061345539
2025-08,0.0205194823,0.0095397102,0.0164814810,0.0104355564,0.0498746252
2025-09,0.0356203357,0.0537621011,0.0065111119,0.0187724673,0.1175841581
2025-10,0.0238373925,0.0478039086,0.0071128044,0.0014946843,0.0355866711
2025-11,0.0019500052,-0.0156103130,0.0098812489,0.0093117417,0.0536781763
2025-12,0.0007975039,-0.0066993655,-0.0076119795,-0.0073747042,0.0217335075
