Period,Global Equity,Technology,Government Bonds,Corporate Bonds,Gold
2024-01,0.0210,0.0320,0.0060,0.0090,0.0140
2024-02,0.0130,0.0200,-0.0020,0.0040,0.0180
2024-03,-0.0080,-0.0140,0.0110,0.0060,0.0270
2024-04,0.0260,0.0410,-0.0040,0.0070,-0.0090
2024-05,0.0090,0.0150,0.0080,0.0100,0.0060
2024-06,-0.0170,-0.0260,0.0140,0.0030,0.0210
2024-07,0.0310,0.0480,-0.0060,0.0120,-0.0120
2024-08,0.0060,0.0110,0.0040,0.0070,0.0160
2024-09,-0.0120,-0.0210,0.0160,0.0020,0.0240
2024-10,0.0190,0.0290,-0.0030,0.0110,0.0040
2024-11,0.0240,0.0370,0.0050,0.0130,-0.0060
2024-12,-0.0040,-0.0090,0.0100,0.0050,0.0190
2025-01,0.0160,0.0250,0.0030,0.0080,0.0110
2025-02,-0.0090,-0.0180,0.0130,0.0010,0.0220
2025-03,0.0280,0.0440,-0.0050,0.0120,-0.0100
2025-04,0.0040,0.0080,0.0070,0.0060,0.0150
2025-05,-0.0150,-0.0240,0.0150,0.0020,0.0260
2025-06,0.0220,0.0350,-0.0020,0.0100,-0.0040
2025-07,0.0110,0.0180,0.0060,0.0090,0.0080
2025-08,-0.0060,-0.0120,0.0120,0.0040,0.0200
2025-09,0.0250,0.0390,-0.0040,0.0110,-0.0080
2025-10,0.0080,0.0140,0.0050,0.0080,0.0120
2025-11,-0.0110,-0.0190,0.0140,0.0030,0.0230
2025-12,0.0200,0.0310,0.0010,0.0100,0.0020

